U,V
2.01,-0.86
1.98,-0.92
1.96,-0.97
1.93,-1.02
1.9,-1.07
1.88,-1.12
1.85,-1.17
1.82,-1.21
1.78,-1.26
1.75,-1.31
1.71,-1.35
1.68,-1.4
1.64,-1.44
1.6,-1.48
1.56,-1.52
1.52,-1.57
1.48,-1.6
1.44,-1.64
1.4,-1.68
1.35,-1.72
1.31,-1.75
1.26,-1.78
1.21,-1.82
1.16,-1.85
1.12,-1.88
1.07,-1.91
1.02,-1.93
0.96,-1.96
0.91,-1.98
0.86,-2.01
0.81,-2.03
0.75,-2.05
0.7,-2.07
0.65,-2.09
0.59,-2.1
0.54,-2.12
0.48,-2.13
0.42,-2.14
0.37,-2.15
0.31,-2.16
0.26,-2.17
0.2,-2.17
0.14,-2.18
0.08,-2.18
0.03,-2.18
-0.03,-2.18
-0.09,-2.18
-0.14,-2.18
-0.2,-2.17
-0.26,-2.17
-0.31,-2.16
-0.37,-2.15
-0.43,-2.14
-0.48,-2.13
-0.54,-2.12
-0.59,-2.1
-0.65,-2.09
-0.7,-2.07
-0.76,-2.05
-0.81,-2.03
-0.86,-2.01
-0.92,-1.98
-0.97,-1.96
-1.02,-1.93
-1.07,-1.9
-1.12,-1.88
-1.17,-1.85
-1.21,-1.82
6,-3.22
5.83,-3.35
5.65,-3.47
5.43,-3.59
5.3,-3.69
5.08,-3.79
4.85,-3.88
4.63,-3.96
4.45,-4.02
4.27,-4.08
4.05,-4.13
3.82,-4.17
3.6,-4.2
3.42,-4.23
3.25,-4.24
3.02,-4.25
2.8,-4.25
2.62,-4.24
2.4,-4.23
2.25,-4.21
2.05,-4.18
1.87,-4.15
1.65,-4.1
1.5,-4.06
1.35,-4.01
1.17,-3.96
1,-3.9
0.85,-3.84
0.7,-3.77
0.55,-3.7
0.4,-3.63
0.25,-3.55
0.15,-3.47
0,-3.39
-0.09999999,-3.3
-0.23,-3.22
-0.35,-3.12
-0.48,-3.03
-0.6,-2.93
-0.65,-2.84
-0.75,-2.74
-0.85,-2.64
-0.95,-2.53
-1,-2.43
-1.05,-2.33
-1.13,-2.23
-1.2,-2.11
-1.25,-2.01
-1.3,-1.9
-1.33,-1.79
-1.35,-1.67
-1.4,-1.57
-1.45,-1.46
-1.45,-1.35
-1.45,-1.23
-1.45,-1.13
