U,V
2.120264,-1.089995
2.090264,-1.139995
2.060264,-1.199995
2.020264,-1.249995
1.990264,-1.299995
1.960264,-1.349995
1.920264,-1.399995
1.880264,-1.449995
1.840264,-1.499995
1.800264,-1.549995
1.760264,-1.599995
1.720264,-1.639995
1.680264,-1.689995
1.630264,-1.729995
1.590264,-1.769995
1.540264,-1.809995
1.490264,-1.849995
1.440264,-1.889995
1.390264,-1.929995
1.340264,-1.959995
1.290264,-1.999995
1.240264,-2.029995
1.180264,-2.059995
1.130264,-2.089995
1.070264,-2.119995
1.020264,-2.149995
0.9602637,-2.179995
0.9002637,-2.199995
0.8502637,-2.219995
0.7902637,-2.239995
0.7302637,-2.259995
0.6702636,-2.279995
0.6102636,-2.299995
0.5502636,-2.309995
0.4902637,-2.329995
0.4302637,-2.339995
0.3602637,-2.349995
0.3002637,-2.359995
0.2402637,-2.369995
0.1802637,-2.369995
0.1202637,-2.379995
0.05026367,-2.379995
-0.009736327,-2.379995
-0.06973632,-2.379995
-0.1297363,-2.369995
-0.1897363,-2.369995
-0.2597363,-2.359995
-0.3197363,-2.359995
-0.3797363,-2.349995
-0.4397363,-2.339995
-0.4997363,-2.319995
-0.5597363,-2.309995
-0.6197363,-2.299995
-0.6797363,-2.279995
-0.7397363,-2.259995
-0.7997363,-2.239995
-0.8597363,-2.219995
-0.9197363,-2.189995
-0.9697363,-2.169995
-1.029736,-2.139995
-1.089736,-2.119995
-1.139736,-2.089995
-1.199736,-2.059995
-1.249736,-2.019995
-1.299736,-1.989995
-1.349736,-1.959995
-1.399736,-1.919995
-1.449736,-1.879995
5.750264,-3.139995
5.570263,-3.259995
5.400264,-3.379995
5.250264,-3.489995
5.100264,-3.589995
4.870264,-3.679995
4.700264,-3.769995
4.520264,-3.849995
4.350264,-3.919995
4.120264,-3.979995
4.000264,-4.039995
3.800264,-4.089995
3.600264,-4.129995
3.400264,-4.169995
3.200264,-4.189995
3.020264,-4.209995
2.850264,-4.229995
2.670264,-4.229995
2.450264,-4.239995
2.270264,-4.229995
2.100264,-4.219995
1.920264,-4.209995
1.750264,-4.189995
1.600264,-4.159995
1.400264,-4.129995
1.220264,-4.089995
1.100264,-4.049995
0.9502637,-3.999995
0.7502636,-3.949995
0.6202636,-3.889995
0.5002636,-3.829995
0.3502637,-3.759995
0.2002637,-3.699995
0.05026367,-3.619995
-0.09973633,-3.549995
-0.1997363,-3.469995
-0.2997363,-3.389995
-0.3997363,-3.299995
-0.5497363,-3.209995
-0.6497363,-3.119995
-0.6997363,-3.029995
-0.8497363,-2.929995
-0.8997363,-2.829995
-0.9997363,-2.729995
-1.099736,-2.629995
-1.149736,-2.529995
-1.199736,-2.429995
-1.299736,-2.319995
-1.349736,-2.209995
-1.399736,-2.099995
-1.399736,-1.999995
-1.499736,-1.889995
-1.499736,-1.789995
-1.549736,-1.679995
-1.549736,-1.569995
-1.599736,-1.469995
-1.599736,-1.359995
-1.599736,-1.259995
-1.649736,-1.149995
-1.649736,-1.049995
-1.649736,-0.9499951
-1.649736,-0.8499951
-1.599736,-0.7599951
-1.599736,-0.6499951
-1.599736,-0.5599951
-1.599736,-0.4699951
-1.599736,-0.3799951
-1.549736,-0.2899951
9.900264,-6.359995
9.450263,-6.519995
9.100264,-6.669995
8.700263,-6.799995
8.300263,-6.909995
7.900263,-7.009995
7.500264,-7.079995
7.100264,-7.139995
6.700264,-7.189995
6.300263,-7.219995
5.900263,-7.229995
5.500264,-7.229995
5.100264,-7.219995
4.750264,-7.189995
4.400264,-7.149995
4.000264,-7.099995
3.600264,-7.039995
3.300264,-6.969995
2.900264,-6.889995
2.600264,-6.799995
2.200264,-6.699995
1.900264,-6.589995
1.600264,-6.469995
1.300264,-6.349995
1.000264,-6.219995
0.7002637,-6.089995
0.4002637,-5.939995
0.2002637,-5.799995
-0.09973633,-5.639995
-0.3497363,-5.489995
-0.5997363,-5.319995
-0.7997363,-5.149995
-0.9997363,-4.979995
-1.249736,-4.799995
-1.399736,-4.619995
-1.599736,-4.429995
-1.799736,-4.239995
-1.949736,-4.049995
-2.099736,-3.849995
-2.149736,-3.649995
-2.299736,-3.439995
-2.399736,-3.239995
-2.499736,-3.029995
-2.599736,-2.819995
-2.599736,-2.609995
-2.699736,-2.399995
-2.699736,-2.189995
-2.799736,-1.989995
-2.799736,-1.779995
-2.799736,-1.569995
-2.799736,-1.369995
-2.799736,-1.169995
-2.699736,-0.9799951
-2.699736,-0.7899951
-2.699736,-0.5999951
-2.599736,-0.4199951
-2.499736,-0.2499951
-2.449736,-0.06999511
-2.399736,0.09000488
-2.299736,0.2500049
-2.199736,0.4100049
-2.149736,0.5600049
-1.999736,0.7000049
-1.949736,0.8400049
-1.799736,0.9700049
-1.699736,1.090005
-1.599736,1.210005
-1.449736,1.330005
13.25026,-10.46
12.65026,-10.66
12.00026,-10.83
11.37026,-10.96
10.75026,-11.05999
10.10026,-11.12
9.450263,-11.16
8.820264,-11.16
8.200263,-11.13999
7.570263,-11.08999
7.000264,-11.02999
6.370264,-10.92999
5.800263,-10.83
5.200264,-10.7
4.650264,-10.55999
4.070263,-10.39999
3.550264,-10.24
2.970264,-10.05999
2.450264,-9.869995
1.950264,-9.669995
1.450264,-9.459995
0.9702637,-9.249995
0.5502636,-9.029995
0.07026367,-8.789995
-0.3497363,-8.559995
-0.7797363,-8.309995
-1.099736,-8.049994
-1.529736,-7.789995
-1.849736,-7.519995
-2.199736,-7.239995
-2.499736,-6.949995
-2.799736,-6.639995
-3.049736,-6.329995
-3.329736,-6.009995
-3.549736,-5.669995
-3.749736,-5.329995
-3.949736,-4.979995
-4.099736,-4.609995
-4.199736,-4.249995
-4.299736,-3.859995
-4.399736,-3.489995
-4.449736,-3.109995
-4.449736,-2.719995
-4.449736,-2.339995
-4.399736,-1.969995
-4.349736,-1.599995
-4.299736,-1.239995
-4.149736,-0.8799951
-3.999736,-0.5399951
-3.879736,-0.2099951
-3.749736,0.1000049
-3.549736,0.4000049
-3.349736,0.6800049
-3.129736,0.9400049
-2.899736,1.180005
-2.729736,1.410005
-2.499736,1.610005
-2.279736,1.800005
-1.999736,1.970005
-1.779736,2.120005
-1.599736,2.250005
-1.349736,2.370005
-1.099736,2.470005
-0.9297363,2.560005
-0.6497363,2.640005
-0.4797363,2.710005
-0.2997363,2.760005
-0.07973633,2.820005
15.50026,-14.62
14.65026,-14.87
13.80026,-15.05999
12.90026,-15.17999
12.10026,-15.25
11.25026,-15.26999
10.40026,-15.24
9.600264,-15.17999
8.800263,-15.08
8.000263,-14.93999
7.200264,-14.79
6.450264,-14.60999
5.700264,-14.39999
4.950264,-14.17999
4.300263,-13.93999
3.550264,-13.7
2.900264,-13.42999
2.200264,-13.16
1.500264,-12.87
0.9002637,-12.58
0.3002637,-12.27999
-0.2997363,-11.96999
-0.8997363,-11.64999
-1.399736,-11.31999
-1.899736,-10.96999
-2.449736,-10.62
-2.899736,-10.24
-3.349736,-9.849995
-3.699736,-9.439995
-4.099736,-8.999995
-4.499736,-8.549994
-4.799736,-8.059995
-5.099736,-7.549995
-5.349736,-7.019995
-5.599736,-6.459995
-5.749736,-5.889995
-5.899736,-5.289995
-5.999736,-4.669995
-6.099736,-4.059995
-6.099736,-3.429995
-5.999736,-2.799995
-5.949736,-2.179995
-5.899736,-1.559995
-5.699736,-0.9599951
-5.499736,-0.3799951
-5.299736,0.1900049
-4.999736,0.7200049
-4.799736,1.230005
-4.499736,1.700005
-4.149736,2.140005
-3.799736,2.550005
-3.499736,2.920005
-3.099736,3.250005
-2.799736,3.540005
-2.399736,3.790005
-2.049736,4.010005
-1.699736,4.190005
-1.349736,4.330005
-0.9997363,4.440005
-0.6997363,4.520005
-0.3997363,4.570005
0.00026367186,4.590005
0.3002637,4.590005
0.6002637,4.570005
0.8002636,4.530005
1.100264,4.470005
1.400264,4.400005
1.600264,4.330005
16.55026,-18.21
15.55026,-18.51999
14.55026,-18.73999
