U,V
1.970227,-0.9093847
1.940227,-0.9593847
1.920227,-1.009385
1.890227,-1.059385
1.860227,-1.109385
1.830227,-1.159385
1.800227,-1.209385
1.770227,-1.249385
1.730227,-1.299385
1.700227,-1.349385
1.660227,-1.389385
1.630227,-1.429385
1.590227,-1.469385
1.550227,-1.519385
1.510227,-1.559385
1.470227,-1.589385
1.420227,-1.629385
1.380227,-1.669385
1.340227,-1.699385
1.290227,-1.739385
1.250227,-1.769385
1.200227,-1.799385
1.150227,-1.839385
1.100227,-1.859385
1.050227,-1.889385
1.000227,-1.919385
0.950227,-1.949385
0.900227,-1.969385
0.8502271,-1.989385
0.800227,-2.009385
0.750227,-2.029385
0.690227,-2.049385
0.640227,-2.069385
0.580227,-2.089385
0.5302271,-2.099385
0.470227,-2.109385
0.4202271,-2.129385
0.360227,-2.139385
0.310227,-2.149385
0.250227,-2.149385
0.190227,-2.159385
0.140227,-2.159385
0.08022705,-2.169385
0.02022705,-2.169385
-0.02977295,-2.169385
-0.08977295,-2.169385
-0.1497729,-2.159385
-0.1997729,-2.159385
-0.259773,-2.149385
-0.3197729,-2.139385
-0.3697729,-2.139385
-0.4297729,-2.119385
-0.4797729,-2.109385
-0.5397729,-2.099385
-0.5897729,-2.079385
-0.6497729,-2.069385
-0.699773,-2.049385
-0.7497729,-2.029385
-0.8097729,-2.009385
-0.8597729,-1.989385
-0.9097729,-1.969385
-0.9597729,-1.939385
-1.009773,-1.919385
-1.059773,-1.889385
-1.109773,-1.859385
-1.159773,-1.829385
-1.209773,-1.799385
-1.249773,-1.769385
5.700227,-3.149385
5.520227,-3.269385
5.350227,-3.389385
5.170227,-3.499385
5.000227,-3.599385
4.800227,-3.689385
4.650227,-3.769385
4.420227,-3.849385
4.250227,-3.919385
4.020227,-3.969385
3.850227,-4.029385
3.670227,-4.069385
3.500227,-4.109385
3.270227,-4.139385
3.100227,-4.159385
2.870227,-4.169384
2.700227,-4.179385
2.500227,-4.179385
2.350227,-4.169384
2.150227,-4.159385
1.950227,-4.139385
1.750227,-4.109385
1.550227,-4.079385
1.420227,-4.049385
1.250227,-3.999385
1.070227,-3.949385
0.900227,-3.899385
0.7202271,-3.839385
0.6002271,-3.779385
0.4502271,-3.709385
0.300227,-3.629385
0.150227,-3.549385
0.00022705078,-3.469385
-0.1297729,-3.389385
-0.249773,-3.299385
-0.3797729,-3.209385
-0.449773,-3.109385
-0.5797729,-3.009385
-0.699773,-2.909385
-0.7797729,-2.809385
-0.8497729,-2.699385
-0.949773,-2.599385
-1.049773,-2.489385
-1.099773,-2.379385
-1.149773,-2.269385
-1.249773,-2.159385
-1.349773,-2.039385
-1.349773,-1.929385
-1.449773,-1.819385
-1.449773,-1.699385
-1.449773,-1.589385
-1.499773,-1.479385
-1.499773,-1.359385
-1.579773,-1.249385
-1.599773,-1.139385
-1.549773,-1.029385
-1.549773,-0.9193847
-1.549773,-0.8093848
-1.549773,-0.7093847
-1.579773,-0.5993847
-1.549773,-0.5093848
-1.549773,-0.3993848
-1.499773,-0.3093848
-1.499773,-0.2093848
-1.449773,-0.1193848
-1.379773,-0.02938477
-1.349773,0.05061523
-1.299773,0.1406152
9.700227,-6.399384
9.350226,-6.559385
9.000227,-6.709384
8.550227,-6.829385
8.200227,-6.949385
7.800227,-7.039385
7.400227,-7.119385
7.000227,-7.179385
6.600227,-7.219385
6.200227,-7.249384
5.800227,-7.269384
5.400227,-7.269384
5.000227,-7.249384
4.650227,-7.219385
4.200227,-7.179385
3.850227,-7.129385
3.500227,-7.059385
3.150227,-6.989385
2.800227,-6.899384
2.400227,-6.799385
2.100227,-6.689384
1.800227,-6.579385
1.400227,-6.449385
1.100227,-6.319385
0.800227,-6.179385
0.500227,-6.029385
0.2002271,-5.879385
0.00022705078,-5.719385
-0.2997729,-5.549385
-0.5497729,-5.379385
-0.7997729,-5.199385
-0.9997729,-5.019385
-1.199773,-4.829385
-1.399773,-4.639385
-1.599773,-4.439384
-1.749773,-4.239385
-1.899773,-4.039385
-2.049773,-3.829385
-2.199773,-3.619385
-2.349773,-3.409385
-2.499773,-3.189385
-2.549773,-2.979385
-2.699773,-2.759385
-2.749773,-2.539385
-2.799773,-2.319385
-2.849773,-2.099385
-2.899773,-1.879385
-2.899773,-1.669385
-2.899773,-1.449385
-2.899773,-1.239385
-2.899773,-1.029385
-2.899773,-0.8193848
-2.799773,-0.6193848
-2.799773,-0.4293848
-2.699773,-0.2293848
-2.699773,-0.04938477
-2.599773,0.1406152
-2.549773,0.3106152
-2.399773,0.4806152
-2.349773,0.6506152
-2.199773,0.8106152
-2.149773,0.9606152
-1.999773,1.100615
-1.899773,1.240615
-1.799773,1.380615
-1.649773,1.500615
-1.499773,1.620615
-1.399773,1.730615
13.20023,-10.43938
12.55023,-10.62938
11.95023,-10.79938
11.32023,-10.92938
10.70023,-11.01938
10.07023,-11.07938
9.450227,-11.12938
8.850226,-11.12938
8.200227,-11.11938
7.600227,-11.06938
7.000227,-11.00938
6.420227,-10.92938
5.850227,-10.82938
5.220227,-10.69938
4.650227,-10.56938
4.120227,-10.41938
3.550227,-10.24938
3.020227,-10.06938
2.500227,-9.889384
2.000227,-9.679384
1.500227,-9.469384
1.000227,-9.259384
0.550227,-9.029385
0.07022705,-8.799384
-0.3497729,-8.549384
-0.7497729,-8.299384
-1.149773,-8.039385
-1.529773,-7.769384
-1.899773,-7.499384
-2.199773,-7.209384
-2.549773,-6.919384
-2.849773,-6.609385
-3.099773,-6.299385
-3.379773,-5.969385
-3.599773,-5.629385
-3.799773,-5.279385
-3.999773,-4.929385
-4.149773,-4.559385
