U,V
2.84751,-0.8994446
2.74751,-0.9994446
2.74751,-1.099445
2.74751,-1.099445
2.74751,-1.199445
2.64751,-1.299445
2.64751,-1.399445
2.64751,-1.399445
2.54751,-1.499445
2.54751,-1.599445
2.44751,-1.599445
2.44751,-1.699445
2.34751,-1.799445
2.34751,-1.799445
2.34751,-1.899445
2.24751,-1.899445
2.24751,-1.999445
2.14751,-2.099445
2.04751,-2.099445
2.04751,-2.199445
1.94751,-2.199445
1.94751,-2.299445
1.84751,-2.299445
1.74751,-2.399445
1.74751,-2.399445
1.64751,-2.499445
1.64751,-2.499445
1.54751,-2.499445
1.44751,-2.599445
1.44751,-2.599445
1.34751,-2.699445
1.24751,-2.699445
1.14751,-2.699445
1.14751,-2.699445
1.04751,-2.799445
0.9475098,-2.799445
0.9475098,-2.799445
0.8475098,-2.899445
0.7475098,-2.899445
0.6475098,-2.899445
0.6475098,-2.899445
0.5475098,-2.899445
0.4475098,-2.899445
0.3475098,-2.899445
0.3475098,-2.999445
0.2475098,-2.999445
0.1475098,-2.999445
0.04750977,-2.999445
-0.05249023,-2.999445
-0.05249023,-2.999445
-0.1524902,-2.999445
-0.2524903,-2.999445
-0.3524902,-2.999445
-0.3524902,-2.899445
-0.4524902,-2.899445
-0.5524902,-2.899445
-0.6524903,-2.899445
-0.7524902,-2.899445
-0.7524902,-2.899445
-0.8524902,-2.799445
-0.9524903,-2.799445
-1.05249,-2.799445
-1.05249,-2.799445
-1.15249,-2.699445
-1.25249,-2.699445
-1.25249,-2.699445
-1.35249,-2.599445
-1.45249,-2.599445
6.84751,-3.699445
6.64751,-3.799445
6.44751,-3.999445
6.24751,-4.099445
6.04751,-4.199445
5.74751,-4.299445
5.54751,-4.499444
5.24751,-4.499444
5.04751,-4.699445
4.84751,-4.699445
4.64751,-4.799445
4.34751,-4.799445
4.14751,-4.799445
3.94751,-4.899445
3.74751,-4.899445
3.44751,-4.999444
3.24751,-4.899445
3.04751,-4.899445
2.84751,-4.899445
2.54751,-4.899445
2.44751,-4.899445
2.14751,-4.899445
1.94751,-4.799445
1.74751,-4.799445
1.54751,-4.699445
1.44751,-4.699445
1.24751,-4.599445
1.04751,-4.599445
0.8475098,-4.499444
0.7475098,-4.399445
0.5475098,-4.399445
0.4475098,-4.299445
0.2475098,-4.199445
0.04750977,-4.099445
-0.05249023,-3.999445
-0.1524902,-3.899445
-0.3524902,-3.899445
-0.4524902,-3.799445
-0.5524902,-3.699445
-0.6524903,-3.499445
-0.7524902,-3.399445
-0.8524902,-3.299445
-0.9524903,-3.299445
-1.05249,-3.199445
-1.15249,-3.099445
-1.25249,-2.899445
-1.25249,-2.799445
-1.35249,-2.699445
-1.45249,-2.599445
-1.45249,-2.499445
-1.55249,-2.399445
-1.55249,-2.199445
-1.65249,-2.099445
-1.65249,-1.999445
-1.65249,-1.899445
-1.75249,-1.799445
-1.75249,-1.699445
-1.75249,-1.499445
-1.75249,-1.399445
-1.75249,-1.299445
-1.75249,-1.199445
-1.65249,-1.099445
-1.65249,-0.9994446
-1.65249,-0.8994446
-1.65249,-0.6994446
-1.55249,-0.6994446
-1.55249,-0.5994446
-1.55249,-0.4994446
12.04751,-7.299445
11.54751,-7.499444
11.14751,-7.699445
10.54751,-7.999444
10.14751,-8.099444
9.64751,-8.299445
9.14751,-8.399445
8.64751,-8.499445
8.14751,-8.599444
7.64751,-8.599444
7.14751,-8.599444
6.54751,-8.599444
6.14751,-8.599444
5.64751,-8.599444
5.14751,-8.499445
4.64751,-8.399445
4.24751,-8.299445
3.74751,-8.199445
3.34751,-8.099444
2.84751,-7.999444
2.44751,-7.699445
2.04751,-7.599445
1.74751,-7.399445
1.34751,-7.299445
1.04751,-7.099445
0.6475098,-6.899445
0.3475098,-6.699445
0.04750977,-6.499444
-0.2524903,-6.299445
-0.5524902,-6.199445
-0.7524902,-5.899445
-1.05249,-5.799445
-1.25249,-5.499444
-1.55249,-5.399445
-1.75249,-5.199445
-1.95249,-4.999444
-2.15249,-4.799445
-2.35249,-4.599445
-2.45249,-4.399445
-2.65249,-4.199445
-2.75249,-3.999445
-2.95249,-3.799445
-2.95249,-3.499445
-3.15249,-3.299445
-3.15249,-3.099445
-3.25249,-2.899445
-3.25249,-2.599445
-3.35249,-2.399445
-3.35249,-2.199445
-3.35249,-1.999445
-3.35249,-1.699445
-3.35249,-1.499445
-3.35249,-1.299445
-3.25249,-0.9994446
-3.25249,-0.7994446
-3.15249,-0.5994446
-3.05249,-0.2994446
-3.05249,-0.1994446
-2.95249,0.1005554
-2.85249,0.2005554
-2.65249,0.5005555
-2.65249,0.6005554
-2.45249,0.9005554
-2.35249,1.000555
-2.15249,1.200555
-2.05249,1.300555
-1.85249,1.500555
-1.75249,1.600555
15.24751,-11.79945
14.54751,-12.09944
13.94751,-12.39944
13.14751,-12.59944
12.44751,-12.89944
11.74751,-12.99944
11.04751,-13.09944
10.24751,-13.19944
9.54751,-13.19944
8.74751,-13.19944
8.04751,-13.09944
7.24751,-12.99944
6.54751,-12.89944
5.74751,-12.59944
5.14751,-12.39944
4.44751,-12.09944
3.74751,-11.89944
3.14751,-11.59944
2.54751,-11.29945
1.94751,-10.99944
1.44751,-10.59944
0.9475098,-10.29945
0.4475098,-9.999445
0.04750977,-9.699445
-0.4524902,-9.399445
-0.7524902,-9.099444
-1.15249,-8.899445
-1.55249,-8.599444
-1.85249,-8.299445
-2.15249,-7.999444
-2.45249,-7.799445
-2.75249,-7.499444
-3.05249,-7.199445
-3.35249,-6.899445
-3.55249,-6.699445
-3.85249,-6.299445
-3.95249,-5.999444
-4.252491,-5.599445
-4.35249,-5.299445
-4.45249,-4.799445
-4.55249,-4.399445
-4.65249,-3.999445
-4.65249,-3.599445
-4.65249,-3.099445
-4.65249,-2.599445
-4.55249,-2.199445
-4.45249,-1.699445
-4.35249,-1.299445
-4.15249,-0.8994446
-4.05249,-0.3994446
-3.75249,0.00055541995
-3.55249,0.4005554
