U,V
3.098734,-1.149997
2.998734,-1.249997
2.998734,-1.349997
2.998734,-1.349997
2.898734,-1.449997
2.898734,-1.549997
2.798733,-1.649997
2.798733,-1.649997
2.798733,-1.749997
2.698734,-1.849997
2.698734,-1.949997
2.598734,-1.949997
2.598734,-2.049997
2.498734,-2.149997
2.398734,-2.149997
2.398734,-2.249997
2.298733,-2.249997
2.298733,-2.349997
2.198734,-2.449997
2.098734,-2.449997
2.098734,-2.549997
1.998734,-2.549997
1.898733,-2.649997
1.898733,-2.649997
1.798734,-2.749997
1.698734,-2.749997
1.698734,-2.849997
1.598734,-2.849997
1.498734,-2.949997
1.398733,-2.949997
1.398733,-2.949997
1.298734,-3.049997
1.198734,-3.049997
1.098734,-3.049997
0.9987335,-3.149997
0.9987335,-3.149997
0.8987336,-3.149997
0.7987335,-3.149997
0.6987335,-3.149997
0.5987335,-3.249997
0.4987335,-3.249997
0.4987335,-3.249997
0.3987335,-3.249997
0.2987335,-3.249997
0.1987335,-3.249997
0.09873352,-3.249997
-0.001266479,-3.249997
-0.1012665,-3.249997
-0.1012665,-3.249997
-0.2012665,-3.249997
-0.3012665,-3.249997
-0.4012665,-3.249997
-0.5012665,-3.249997
-0.6012665,-3.249997
-0.7012665,-3.249997
-0.7012665,-3.149997
-0.8012665,-3.149997
-0.9012665,-3.149997
-1.001266,-3.149997
-1.101267,-3.049997
-1.201267,-3.049997
-1.201267,-3.049997
-1.301267,-2.949997
-1.401266,-2.949997
-1.501266,-2.949997
-1.501266,-2.849997
-1.601267,-2.849997
-1.701267,-2.849997
7.198734,-3.749997
7.098733,-3.849997
6.898734,-4.049997
6.598733,-4.149997
6.398734,-4.249997
6.198734,-4.449997
5.998734,-4.549997
5.698734,-4.649997
5.498734,-4.749997
5.298734,-4.749997
5.098733,-4.849997
4.798734,-4.949997
4.598733,-4.949997
4.398734,-4.949997
4.198734,-5.049997
3.998734,-5.049997
3.798733,-5.049997
3.498734,-5.049997
3.298733,-5.049997
3.098734,-5.049997
2.898734,-5.049997
2.598734,-5.049997
2.498734,-5.049997
2.198734,-4.949997
2.098734,-4.949997
1.898733,-4.949997
1.698734,-4.849997
1.498734,-4.849997
1.298734,-4.849997
1.098734,-4.749997
0.8987336,-4.649997
0.7987335,-4.649997
0.5987335,-4.549997
0.3987335,-4.449997
0.2987335,-4.449997
0.09873352,-4.349997
-0.001266479,-4.249997
-0.1012665,-4.149997
-0.3012665,-4.049997
-0.4012665,-3.949997
-0.5012665,-3.849997
-0.7012665,-3.749997
-0.8012665,-3.649997
-0.9012665,-3.549997
-1.001266,-3.449997
-1.101267,-3.349997
-1.201267,-3.249997
-1.301267,-3.149997
-1.301267,-3.049997
-1.401266,-2.949997
-1.501266,-2.849997
-1.601267,-2.649997
-1.601267,-2.549997
-1.701267,-2.449997
-1.701267,-2.349997
-1.801267,-2.249997
-1.801267,-2.149997
-1.901266,-2.049997
-1.901266,-1.949997
-1.901266,-1.749997
-1.901266,-1.649997
-1.901266,-1.549997
-1.901266,-1.449997
-2.001266,-1.349997
-1.901266,-1.249997
-1.901266,-1.049997
-1.901266,-1.049997
-1.901266,-0.849997
11.79873,-7.749997
11.29873,-7.849997
10.79873,-8.049997
10.39873,-8.149997
9.898734,-8.349998
9.398734,-8.349998
8.898734,-8.449997
8.498734,-8.549997
7.998734,-8.549997
7.498734,-8.549997
6.998734,-8.549997
6.598733,-8.549997
6.098733,-8.449997
5.698734,-8.449997
5.198734,-8.349998
4.798734,-8.249997
4.398734,-8.149997
3.998734,-8.049997
3.598734,-8.049997
3.198734,-7.849997
2.798733,-7.749997
2.498734,-7.549997
2.098734,-7.549997
1.698734,-7.349997
1.398733,-7.249997
1.098734,-7.049997
0.7987335,-6.949997
0.4987335,-6.749997
0.1987335,-6.549997
-0.1012665,-6.349997
-0.4012665,-6.249997
-0.6012665,-6.049997
-0.8012665,-5.949997
-1.001266,-5.749997
-1.301267,-5.549997
-1.501266,-5.349997
-1.701267,-5.149997
-1.801267,-4.949997
-2.001266,-4.849997
-2.101267,-4.549997
-2.301266,-4.449997
-2.401267,-4.149997
-2.601267,-4.049997
-2.601267,-3.749997
-2.801266,-3.649997
-2.801266,-3.349997
-2.901267,-3.249997
-3.001266,-2.949997
-3.001266,-2.749997
-3.101267,-2.549997
-3.101267,-2.349997
-3.101267,-2.149997
-3.101267,-1.949997
-3.101267,-1.749997
-3.101267,-1.649997
-3.101267,-1.349997
-3.001266,-1.249997
-3.001266,-0.9499969
-3.001266,-0.849997
-2.901267,-0.6499969
-2.901267,-0.549997
-2.801266,-0.349997
-2.701267,-0.149997
-2.601267,0.05000305
-2.601267,0.1500031
-2.501266,0.3500031
-2.401267,0.4500031
-2.301266,0.6500031
15.49873,-12.55
14.69873,-12.85
13.99873,-12.95
13.19873,-13.15
12.49873,-13.15
11.69873,-13.25
10.89873,-13.15
10.19873,-13.15
9.398734,-13.05
8.698733,-12.95
7.998734,-12.75
7.298734,-12.65
6.598733,-12.35
5.898734,-12.25
5.298734,-12.05
4.598733,-11.75
3.998734,-11.55
3.398734,-11.25
2.898734,-11.05
2.298733,-10.85
1.798734,-10.55
1.198734,-10.25
0.7987335,-10.05
0.2987335,-9.749997
-0.2012665,-9.549997
-0.7012665,-9.249997
-1.101267,-8.949997
-1.501266,-8.749997
-1.801267,-8.449997
-2.201267,-8.149997
-2.601267,-7.849997
-2.901267,-7.549997
-3.101267,-7.249997
-3.401267,-6.849997
-3.601267,-6.549997
-3.901267,-6.249997
-4.101266,-5.849997
-4.301267,-5.449997
-4.401267,-5.149997
-4.501266,-4.749997
-4.601266,-4.449997
-4.701267,-4.049997
-4.701267,-3.649997
-4.701267,-3.249997
-4.701267,-2.949997
-4.701267,-2.549997
-4.601266,-2.149997
-4.501266,-1.849997
-4.401267,-1.549997
-4.301267,-1.149997
-4.201267,-0.9499969
-4.001266,-0.549997
-3.901267,-0.349997
-3.701267,-0.04999695
-3.501266,0.1500031
-3.301266,0.4500031
-3.101267,0.5500031
-3.001266,0.8500031
-2.801266,0.9500031
-2.601267,1.150003
-2.401267,1.250003
-2.201267,1.450003
-2.001266,1.550003
-1.801267,1.650003
-1.601267,1.750003
-1.501266,1.850003
-1.301267,1.950003
-1.101267,2.050003
17.79873,-17.55
16.79873,-17.85
15.79873,-18.05
14.79873,-18.15
13.69873,-18.15
12.79873,-18.15
11.69873,-18.05
10.79873,-17.85
9.798734,-17.65
8.898734,-17.35
7.898734,-17.05
6.998734,-16.65
6.198734,-16.35
5.398734,-15.95
4.498734,-15.45
3.698734,-15.15
2.998734,-14.85
2.298733,-14.45
1.498734,-14.15
0.7987335,-13.75
0.1987335,-13.35
-0.5012665,-13.05
-1.101267,-12.65
-1.601267,-12.35
-2.201267,-11.95
-2.701267,-11.55
-3.201267,-11.15
-3.601267,-10.75
-4.101266,-10.35
-4.501266,-9.849998
-4.901267,-9.349998
-5.201267,-8.849998
-5.501266,-8.349998
-5.801267,-7.749997
-6.001266,-7.249997
-6.301267,-6.549997
-6.401267,-5.949997
-6.501266,-5.349997
-6.501266,-4.749997
-6.501266,-4.049997
-6.501266,-3.449997
-6.501266,-2.749997
-6.301267,-2.249997
-6.201267,-1.549997
-6.001266,-1.149997
-5.801267,-0.549997
-5.601266,-0.04999695
-5.301267,0.4500031
-5.001266,0.8500031
-4.701267,1.350003
-4.401267,1.650003
-4.001266,2.050003
-3.701267,2.250003
-3.401267,2.550003
-3.001266,2.750003
-2.701267,2.950003
-2.401267,3.050003
-2.001266,3.250003
-1.701267,3.350003
-1.401266,3.450003
-1.101267,3.450003
-0.8012665,3.550003
-0.5012665,3.450003
-0.2012665,3.550003
0.09873352,3.450003
0.2987335,3.450003
0.4987335,3.350003
0.7987335,3.450003
18.09873,-21.55
16.99873,-21.95
15.89873,-22.25
14.69873,-22.45
13.59873,-22.45
12.39873,-22.35
11.39873,-22.15
10.29873,-21.85
9.298734,-21.45
8.198733,-21.05
7.198734,-20.55
6.198734,-20.15
5.298734,-19.55
4.398734,-19.15
3.498734,-18.65
2.598734,-18.15
1.798734,-17.65
0.8987336,-17.25
0.09873352,-16.75
-0.6012665,-16.25
-1.301267,-15.85
-2.001266,-15.35
-2.601267,-14.95
-3.201267,-14.45
-3.801266,-13.95
-4.401267,-13.35
-4.801267,-12.85
-5.301267,-12.15
-5.701267,-11.45
-6.101266,-10.75
-6.401267,-9.949997
-6.801267,-9.149997
-7.001266,-8.349998
-7.201267,-7.449997
-7.301267,-6.549997
-7.501266,-5.549997
-7.401267,-4.649997
-7.401267,-3.749997
-7.301267,-2.949997
-7.201267,-2.049997
-6.901267,-1.249997
-6.701267,-0.549997
-6.401267,0.1500031
-6.101266,0.8500031
-5.701267,1.450003
-5.401267,1.950003
-5.001266,2.450003
-4.701267,2.950003
-4.301267,3.350003
-3.901267,3.750003
-3.601267,4.050003
-3.201267,4.350003
-2.901267,4.550003
-2.501266,4.750003
-2.101267,4.850003
-1.801267,5.050003
-1.501266,5.050003
-1.201267,5.250003
-0.8012665,5.250003
-0.5012665,5.350003
-0.1012665,5.250003
0.1987335,5.350003
0.5987335,5.250003
0.8987336,5.250003
