U,V
2.560178,-1.079995
2.530178,-1.149995
2.500178,-1.209995
2.460178,-1.279995
2.430178,-1.339995
2.390178,-1.399995
2.350178,-1.469995
2.320178,-1.529995
2.270178,-1.589995
2.230178,-1.649995
2.190178,-1.709995
2.140178,-1.759995
2.100178,-1.819995
2.050178,-1.869995
2.000178,-1.919995
1.950178,-1.979995
1.890178,-2.029995
1.840178,-2.079995
1.790178,-2.119995
1.730178,-2.169995
1.670178,-2.209995
1.610178,-2.259995
1.550178,-2.299995
1.490178,-2.339995
1.430178,-2.379995
1.370178,-2.409995
1.310178,-2.449995
1.240178,-2.479995
1.180178,-2.509995
1.110178,-2.539995
1.040178,-2.569995
0.9701782,-2.599995
0.9101782,-2.619995
0.8401782,-2.639995
0.7701782,-2.669995
0.7001782,-2.689995
0.6301782,-2.699995
0.5601782,-2.719995
0.4901782,-2.729995
0.4101782,-2.739995
0.3401782,-2.749995
0.2701782,-2.759995
0.2001782,-2.769995
0.1201782,-2.769995
0.05017822,-2.769995
-0.01982178,-2.769995
-0.08982178,-2.769995
-0.1698218,-2.769995
-0.2398218,-2.759995
-0.3098218,-2.759995
-0.3798218,-2.749995
-0.4498218,-2.739995
-0.5298218,-2.719995
-0.5998217,-2.709995
-0.6698217,-2.689995
-0.7398217,-2.669995
-0.8098218,-2.649995
-0.8798218,-2.629995
-0.9498218,-2.609995
-1.009822,-2.579995
-1.079822,-2.559995
-1.149822,-2.529995
-1.209822,-2.499995
-1.279822,-2.459995
-1.339822,-2.429995
-1.409822,-2.389995
-1.469822,-2.349995
-1.529822,-2.319995
6.450178,-3.399995
6.270178,-3.539995
6.100178,-3.669995
5.870178,-3.779995
5.700178,-3.899995
5.520178,-3.999995
5.300178,-4.089995
5.070178,-4.179995
4.900178,-4.259995
4.670178,-4.319995
4.450178,-4.379995
4.270178,-4.439995
4.100178,-4.489995
3.870178,-4.519995
3.650178,-4.549995
3.470178,-4.579995
3.250178,-4.589995
3.050178,-4.599995
2.850178,-4.609995
2.650178,-4.599995
2.450178,-4.589995
2.250178,-4.579995
2.050178,-4.559995
1.870178,-4.529995
1.700178,-4.499995
1.500178,-4.459995
1.350178,-4.419995
1.200178,-4.369995
1.000178,-4.319995
0.8501782,-4.259995
0.7001782,-4.209995
0.5201782,-4.139995
0.4001782,-4.069995
0.2501782,-3.999995
0.1001782,-3.929995
0.00017822265,-3.849995
-0.1498218,-3.759995
-0.2798218,-3.679995
-0.3998218,-3.589995
-0.5298218,-3.499995
-0.6498218,-3.399995
-0.7298217,-3.309995
-0.8498217,-3.219995
-0.9498218,-3.109995
-1.049822,-3.009995
-1.099822,-2.909995
-1.199822,-2.799995
-1.249822,-2.689995
-1.349822,-2.589995
-1.399822,-2.489995
-1.449822,-2.369995
-1.529822,-2.269995
-1.549822,-2.159995
-1.599822,-2.049995
-1.599822,-1.939995
-1.699822,-1.829995
-1.699822,-1.719995
-1.729822,-1.609995
-1.749822,-1.499995
-1.749822,-1.399995
-1.799822,-1.289995
-1.779822,-1.189995
-1.749822,-1.079995
-1.749822,-0.9799951
-1.749822,-0.8799951
