U,V
-4.649838,-7.6
-4.949838,-7
-5.049839,-6.5
-5.249838,-5.9
-5.249838,-5.3
-5.349838,-4.7
-5.349838,-4.1
-5.349838,-3.5
-5.249838,-2.9
-5.149838,-2.3
-4.949838,-1.7
-4.849838,-1.1
-4.549839,-0.6
-4.349838,-0.1
-4.049839,0.5
-3.849838,0.9
-3.549838,1.4
-3.249838,1.8
-2.949838,2.2
-2.649838,2.5
-2.349838,2.8
-2.049838,3.1
-1.749838,3.4
-1.449838,3.6
-1.149838,3.8
-0.8498383,4
-0.5498382,4.2
-0.3498383,4.3
-0.04983826,4.4
0.2501617,4.5
0.4501618,4.6
0.7501618,4.6
0.9501618,4.7
1.250162,4.7
1.450162,4.7
18.15016,-18.7
17.05016,-19.1
15.95016,-19.3
14.85016,-19.5
13.75016,-19.5
12.75016,-19.5
11.75016,-19.4
10.75016,-19.2
9.650162,-19
8.750162,-18.8
7.850162,-18.5
6.950162,-18.2
5.950162,-17.9
5.050162,-17.6
4.150162,-17.2
3.350162,-16.8
2.450162,-16.4
1.650162,-16.1
0.8501617,-15.6
0.1501617,-15.2
-0.5498382,-14.8
-1.249838,-14.4
-1.849838,-13.9
-2.449838,-13.5
-2.949838,-13
-3.449838,-12.6
-3.949838,-12
-4.449838,-11.5
-4.749838,-11
-5.149838,-10.4
-5.549839,-9.7
-5.849838,-9
-6.149838,-8.2
-6.249838,-7.5
-6.449838,-6.6
-6.549839,-5.8
-6.549839,-4.9
-6.549839,-4
-6.449838,-3.1
-6.249838,-2.3
-6.149838,-1.4
-5.849838,-0.7
-5.549839,0
-5.149838,0.8
-4.849838,1.4
-4.549839,2
-4.149838,2.6
-3.749838,3.1
-3.349838,3.5
-3.049838,3.8
-2.649838,4.2
-2.349838,4.4
-2.049838,4.6
-1.749838,4.7
-1.449838,4.9
-1.149838,5
-0.8498383,5.1
-0.6498383,5.2
-0.3498383,5.4
-0.1498383,5.4
0.1501617,5.6
0.3501618,5.7
0.6501617,5.8
0.9501618,6
1.250162,6.1
1.550162,6.2
1.950162,6.4
2.250162,6.5
18.85016,-21.3
17.75016,-21.9
16.55016,-22.3
15.35016,-22.6
14.25016,-22.6
13.25016,-22.6
12.15016,-22.5
11.15016,-22.3
10.15016,-22
9.250162,-21.7
8.250162,-21.4
7.350162,-21.1
6.350162,-20.7
5.350162,-20.4
4.350162,-19.9
3.350162,-19.5
2.350162,-19
1.450162,-18.5
0.5501618,-17.9
-0.2498383,-17.4
-1.149838,-16.8
-1.749838,-16.3
-2.549838,-15.7
-3.149838,-15.1
-3.749838,-14.6
-4.249838,-14
-4.849838,-13.3
-5.249838,-12.6
-5.749838,-11.8
-6.149838,-11
-6.649838,-10.1
-6.949838,-9.2
-7.249838,-8.1
-7.449838,-7
-7.649838,-5.9
-7.749838,-4.7
-7.749838,-3.6
-7.549839,-2.5
-7.449838,-1.5
-7.249838,-0.4
-6.949838,0.5
-6.649838,1.4
-6.349838,2.2
-5.949838,3.1
-5.649838,3.7
-5.249838,4.4
-4.849838,5
-4.449838,5.5
-4.049839,5.8
-3.649838,6.1
-3.249838,6.3
-2.749838,6.4
-2.449838,6.5
-1.949838,6.4
-1.649838,6.4
-1.249838,6.4
-0.9498383,6.3
-0.5498382,6.3
-0.2498383,6.3
0.1501617,6.4
0.4501618,6.5
0.8501617,6.6
1.150162,6.7
1.550162,7
1.950162,7.2
2.450162,7.5
2.850162,7.8
3.350162,8.1
19.35016,-22.1
18.35016,-23.1
17.25016,-23.8
16.15016,-24.3
15.05016,-24.6
14.05016,-24.7
13.05016,-24.7
12.15016,-24.5
11.25016,-24.3
10.35016,-24.1
9.450162,-23.8
8.550162,-23.4
7.550162,-23.1
6.650162,-22.7
5.650162,-22.2
4.550162,-21.7
3.550162,-21.1
2.550162,-20.5
1.550162,-19.8
0.6501617,-19.2
-0.1498383,-18.5
-0.9498383,-17.8
-1.749838,-17.2
-2.449838,-16.6
-3.149838,-15.9
-3.849838,-15.2
-4.449838,-14.5
-5.049839,-13.7
-5.549839,-12.7
-6.049839,-11.7
-6.549839,-10.6
-6.849838,-9.400001
-7.149838,-8.1
-7.349838,-6.9
-7.449838,-5.5
-7.549839,-4.2
-7.449838,-2.9
-7.349838,-1.7
-7.249838,-0.5
-7.049839,0.6
-6.749838,1.6
-6.549839,2.5
-6.349838,3.5
-6.049839,4.3
