U,V
2.140217,-0.52
2.130217,-0.57
2.110217,-0.63
2.090217,-0.68
2.070217,-0.74
2.050217,-0.79
2.030217,-0.84
2.010217,-0.9
1.990217,-0.95
1.960217,-1
1.930217,-1.05
1.910217,-1.1
1.880217,-1.15
1.850217,-1.2
1.810217,-1.25
1.780217,-1.3
1.750217,-1.34
1.710217,-1.39
1.670217,-1.43
1.630217,-1.47
1.600217,-1.52
1.560217,-1.56
1.510217,-1.6
1.470217,-1.64
1.430217,-1.68
1.380217,-1.71
1.340217,-1.75
1.290217,-1.78
1.250217,-1.82
1.200217,-1.85
1.150217,-1.88
1.100217,-1.91
1.050217,-1.94
1.000217,-1.96
0.9502172,-1.99
0.8902172,-2.01
0.8402173,-2.03
0.7902173,-2.06
0.7302173,-2.08
0.6802173,-2.09
0.6202173,-2.11
0.5702173,-2.13
0.5102172,-2.14
0.4602173,-2.15
0.4002173,-2.17
0.3402173,-2.17
0.2902173,-2.18
0.2302173,-2.19
0.1702173,-2.2
0.1102173,-2.2
0.06021728,-2.2
0.00021728515,-2.2
-0.05978271,-2.2
-0.1197827,-2.2
-0.1697827,-2.19
-0.2297827,-2.19
-0.2897827,-2.18
-0.3497827,-2.17
-0.3997827,-2.16
-0.4597827,-2.15
-0.5197827,-2.14
-0.5697827,-2.13
-0.6297827,-2.11
-0.6797827,-2.09
-0.7397827,-2.07
-0.7897827,-2.05
-0.8397827,-2.03
-0.8997827,-2.01
6.300217,-3.02
6.100217,-3.17
5.900217,-3.3
5.750217,-3.44
5.550217,-3.55
5.350217,-3.67
5.150217,-3.77
4.920217,-3.86
4.750217,-3.94
4.570217,-4.02
4.350217,-4.07
4.120217,-4.13
3.950217,-4.17
3.720217,-4.21
3.500217,-4.23
3.300217,-4.25
3.100217,-4.25
2.870217,-4.25
2.700217,-4.24
2.470217,-4.23
2.300217,-4.2
2.100217,-4.17
1.900217,-4.13
1.720217,-4.08
1.550217,-4.02
1.400217,-3.97
1.200217,-3.9
1.050217,-3.83
0.9002173,-3.75
0.7502173,-3.67
0.6002173,-3.58
0.4202173,-3.49
0.3002173,-3.39
0.1502173,-3.3
0.05021729,-3.19
-0.07978271,-3.09
-0.1997827,-2.98
-0.2797827,-2.86
-0.3997827,-2.75
-0.4797827,-2.63
-0.5497827,-2.51
-0.6497827,-2.39
-0.7497827,-2.27
-0.7997827,-2.15
-0.8497827,-2.02
-0.9297827,-1.9
-0.9497827,-1.77
-1.029783,-1.65
-1.049783,-1.52
-1.049783,-1.4
-1.099783,-1.27
-1.149783,-1.15
-1.149783,-1.03
-1.099783,-0.91
-1.099783,-0.79
-1.099783,-0.68
-1.149783,-0.56
-1.129783,-0.45
-1.099783,-0.34
-1.029783,-0.24
-0.9997827,-0.14
-0.9497827,-0.04
-0.9497827,0.06
-0.8997827,0.15
-0.8497827,0.24
-0.7797827,0.32
-0.6997827,0.4
-0.6797827,0.47
10.40022,-6.13
10.00022,-6.35
9.600217,-6.56
9.250217,-6.74
8.800217,-6.9
8.450217,-7.04
8.000217,-7.16
7.600217,-7.25
7.200217,-7.33
6.800217,-7.39
6.400217,-7.42
5.950217,-7.44
5.600217,-7.44
5.150217,-7.42
4.800217,-7.38
4.400217,-7.33
4.000217,-7.27
3.650217,-7.19
3.300217,-7.09
2.900217,-6.99
2.600217,-6.88
2.250217,-6.75
1.900217,-6.62
1.600217,-6.47
1.300217,-6.32
1.000217,-6.17
0.7002172,-6
0.5002173,-5.83
0.2002173,-5.66
-0.04978271,-5.48
-0.2997827,-5.29
-0.4997827,-5.1
-0.6997827,-4.9
-0.9497827,-4.7
-1.099783,-4.5
-1.349783,-4.29
-1.499783,-4.07
-1.649783,-3.86
-1.799783,-3.64
-1.949783,-3.42
-2.099783,-3.18
-2.199783,-2.95
-2.299783,-2.72
-2.399783,-2.48
-2.499783,-2.24
-2.549783,-2
-2.599783,-1.76
-2.599783,-1.51
-2.699783,-1.27
-2.699783,-1.03
-2.699783,-0.79
-2.699783,-0.55
-2.599783,-0.32
-2.599783,-0.09
-2.499783,0.13
-2.499783,0.35
-2.399783,0.57
-2.349783,0.78
-2.199783,0.98
-2.149783,1.17
-1.999783,1.35
-1.849783,1.53
-1.799783,1.7
-1.649783,1.86
-1.499783,2.01
-1.349783,2.15
-1.199783,2.28
-0.9997827,2.4
13.65022,-9.73
13.08022,-10
12.45022,-10.23
11.85022,-10.42
11.25022,-10.58
10.62022,-10.71
10.00022,-10.8
9.370217,-10.86
8.800217,-10.89
8.150217,-10.88
7.550217,-10.86
6.950217,-10.8
6.350217,-10.72
5.800217,-10.62
5.200217,-10.5
4.620217,-10.37
4.150217,-10.21
3.620217,-10.04
3.100217,-9.86
2.620217,-9.67
2.150217,-9.469999
1.670217,-9.27
1.250217,-9.05
0.8202173,-8.84
0.4002173,-8.61
0.05021729,-8.38
-0.3497827,-8.139999
-0.6797827,-7.91
-0.9997827,-7.66
-1.329783,-7.4
-1.649783,-7.13
-1.949783,-6.86
-2.249783,-6.57
-2.529783,-6.28
-2.749783,-5.96
-2.979783,-5.64
-3.199783,-5.3
-3.379783,-4.96
-3.549783,-4.59
-3.699783,-4.23
-3.799783,-3.84
-3.899783,-3.46
-3.999783,-3.06
-4.049783,-2.66
-3.999783,-2.26
-4.049783,-1.86
-3.999783,-1.47
-3.949783,-1.07
-3.899783,-0.68
-3.799783,-0.3
-3.699783,0.07
-3.549783,0.43
-3.399783,0.78
-3.249783,1.1
-3.049783,1.43
-2.879783,1.72
-2.699783,2.01
-2.479783,2.27
-2.299783,2.52
-2.049783,2.75
-1.849783,2.96
-1.599783,3.16
-1.399783,3.34
-1.149783,3.49
-0.9497827,3.64
-0.6797827,3.77
-0.4997827,3.89
-0.2497827,3.98
16.30022,-13.57
15.45022,-13.86
14.60022,-14.09
13.80022,-14.26
13.00022,-14.39
12.15022,-14.47
11.30022,-14.51
10.55022,-14.5
9.700217,-14.46
8.950217,-14.38
8.100217,-14.27
7.350217,-14.13
6.600217,-13.97
5.850217,-13.79
5.100217,-13.57
4.400217,-13.35
3.700217,-13.1
3.050217,-12.84
2.400217,-12.57
1.800217,-12.3
1.200217,-12.02
0.6502173,-11.73
0.1002173,-11.44
-0.3997827,-11.14
-0.8997827,-10.84
-1.349783,-10.53
-1.799783,-10.21
-2.199783,-9.88
-2.599783,-9.53
-2.999783,-9.16
-3.299783,-8.77
-3.649783,-8.36
-3.999783,-7.91
-4.199783,-7.44
-4.499783,-6.95
-4.649783,-6.42
-4.799783,-5.87
-4.949782,-5.31
-4.999783,-4.72
-5.099782,-4.12
-5.099782,-3.52
-4.999783,-2.91
-4.899783,-2.31
-4.849782,-1.71
-4.699782,-1.13
-4.449783,-0.56
-4.299783,-0.02
-3.999783,0.5
-3.799783,1
-3.499783,1.46
-3.199783,1.89
-2.899783,2.29
-2.599783,2.66
-2.299783,3.01
-1.999783,3.32
-1.749783,3.6
-1.499783,3.85
-1.199783,4.09
-0.8997827,4.29
-0.6997827,4.48
-0.3997827,4.64
-0.1497827,4.79
0.1002173,4.92
0.3002173,5.03
0.6002173,5.13
0.8002173,5.21
1.100217,5.28
1.300217,5.34
18.25022,-16.93
17.25022,-17.32
16.30022,-17.61
15.32022,-17.81
14.35022,-17.94
13.40022,-18
12.45022,-18
11.55022,-17.95
10.60022,-17.85
9.700217,-17.72
8.750217,-17.55
7.850217,-17.35
6.900217,-17.12
6.050217,-16.85
5.100217,-16.56
4.250217,-16.25
3.400217,-15.9
2.600217,-15.55
1.800217,-15.17
1.070217,-14.78
0.3502173,-14.38
-0.3297827,-13.99
-0.9497827,-13.58
-1.529783,-13.17
-2.099783,-12.75
-2.579783,-12.33
-3.099783,-11.87
-3.579783,-11.4
-3.999783,-10.88
-4.399783,-10.33
-4.799783,-9.73
-5.129783,-9.09
-5.449782,-8.389999
-5.679782,-7.64
-5.899783,-6.86
-6.049783,-6.04
-6.099782,-5.2
-6.149783,-4.35
-6.049783,-3.49
-5.949782,-2.64
-5.799783,-1.81
-5.579782,-1.01
-5.349782,-0.23
-5.049783,0.49
-4.699782,1.17
-4.379783,1.8
-4.049783,2.38
-3.649783,2.89
-3.299783,3.34
-2.979783,3.73
-2.599783,4.08
-2.299783,4.36
-1.999783,4.6
-1.699783,4.79
-1.399783,4.96
-1.129783,5.11
-0.8497827,5.25
-0.6297827,5.38
-0.3997827,5.51
-0.1297827,5.64
0.1002173,5.79
0.3502173,5.93
0.6002173,6.08
0.8502173,6.23
1.150217,6.39
1.450217,6.54
1.750217,6.69
2.100217,6.83
19.90022,-19.17
18.85022,-19.8
17.80022,-20.3
16.75022,-20.65
15.70022,-20.87
14.75022,-20.98
13.70022,-21.01
12.75022,-20.96
11.80022,-20.85
10.80022,-20.7
9.800217,-20.5
8.850217,-20.27
7.900217,-19.99
6.850217,-19.68
5.800217,-19.32
4.850217,-18.93
3.900217,-18.49
2.900217,-18.02
2.000217,-17.53
1.100217,-17.03
0.3002173,-16.51
-0.4497827,-15.99
-1.199783,-15.47
-1.799783,-14.96
-2.499783,-14.43
-3.049783,-13.88
-3.599783,-13.3
-4.149783,-12.68
-4.699782,-12
-5.149783,-11.25
-5.599782,-10.43
-5.999783,-9.52
-6.299783,-8.559999
-6.599782,-7.53
-6.799783,-6.46
-6.949782,-5.37
-6.999783,-4.26
-6.999783,-3.16
-6.899783,-2.09
-6.749783,-1.06
-6.499783,-0.08
-6.249783,0.85
-5.999783,1.72
-5.649783,2.54
-5.299783,3.3
-4.999783,3.99
-4.599782,4.61
-4.249783,5.15
-3.899783,5.59
-3.449783,5.93
-3.099783,6.19
-2.649783,6.35
-2.299783,6.44
-1.849783,6.48
-1.499783,6.48
-1.149783,6.47
-0.7997827,6.45
-0.4497827,6.46
-0.09978271,6.48
0.2002173,6.54
0.6002173,6.62
0.9002173,6.75
1.300217,6.9
1.650217,7.1
2.000217,7.33
2.450217,7.59
2.800217,7.87
3.250217,8.17
21.55022,-19.95
20.58022,-21.03
19.55022,-21.92
18.50022,-22.57
17.40022,-23.04
16.37022,-23.31
15.35022,-23.45
14.37022,-23.45
13.40022,-23.37
12.42022,-23.23
11.50022,-23.02
10.47022,-22.79
9.500217,-22.5
8.450217,-22.18
7.400217,-21.8
6.350217,-21.37
5.300217,-20.88
4.320217,-20.34
3.300217,-19.75
2.350217,-19.14
1.450217,-18.51
0.6202173,-17.89
-0.1497827,-17.26
-0.9497827,-16.65
-1.699783,-16.03
-2.349783,-15.39
-2.999783,-14.71
-3.629783,-13.96
-4.249783,-13.13
-4.779783,-12.21
-5.249783,-11.18
-5.699782,-10.06
-6.049783,-8.849999
-6.329782,-7.58
-6.499783,-6.28
-6.599782,-4.98
-6.649783,-3.7
-6.629783,-2.48
-6.499783,-1.31
-6.349782,-0.22
-6.199782,0.82
-5.979783,1.79
-5.749783,2.72
-5.549783,3.6
-5.299783,4.45
-4.999783,5.23
-4.699782,5.96
-4.279783,6.59
-3.899783,7.12
-3.399783,7.51
-2.949783,7.8
-2.429783,7.95
-1.949783,8.01
-1.449783,7.99
-0.9997827,7.93
-0.5197827,7.86
-0.04978271,7.77
0.4002173,7.71
0.9502172,7.68
1.400217,7.69
1.850217,7.74
2.300217,7.87
2.750217,8.059999
3.250217,8.32
3.700217,8.63
4.220217,8.98
4.750217,9.349999
5.320217,9.7
22.10022,-19.62
21.35022,-21.12
20.60022,-22.42
19.70022,-23.44
18.80022,-24.21
17.80022,-24.7
16.90022,-24.99
16.00022,-25.09
15.10022,-25.05
14.20022,-24.93
13.40022,-24.75
12.50022,-24.55
11.50022,-24.32
10.55022,-24.06
9.500217,-23.76
8.450217,-23.41
7.400217,-22.99
6.350217,-22.48
5.300217,-21.91
4.300217,-21.27
3.300217,-20.57
2.400217,-19.86
1.500217,-19.12
0.6002173,-18.39
-0.1997827,-17.65
-1.049783,-16.89
-1.799783,-16.1
-2.499783,-15.24
-3.199783,-14.29
-3.749783,-13.22
-4.299783,-12.04
-4.749783,-10.73
-5.099782,-9.33
-5.399783,-7.87
-5.599782,-6.37
-5.699782,-4.88
-5.699782,-3.45
-5.649783,-2.09
-5.499783,-0.82
-5.349782,0.36
-5.199782,1.46
-5.049783,2.5
-4.899783,3.48
-4.649783,4.44
-4.399783,5.35
-4.199783,6.22
-3.899783,7.03
-3.449783,7.74
-3.099783,8.34
-2.649783,8.8
-2.199783,9.139999
-1.649783,9.33
-1.199783,9.429999
-0.8497827,9.429999
-0.3997827,9.38
0.05021729,9.29
0.4002173,9.19
0.8502173,9.12
1.200217,9.09
1.650217,9.16
2.100217,9.29
2.550217,9.53
3.100217,9.84
3.600217,10.21
4.300217,10.6
4.900217,10.99
5.600217,11.33
6.250217,11.62
