U,V
2.76,-1.599995
2.72,-1.669995
2.68,-1.739995
2.63,-1.809995
2.58,-1.879995
2.53,-1.939995
2.48,-2.009995
2.43,-2.069995
2.37,-2.139995
2.31,-2.199995
2.26,-2.259995
2.2,-2.309995
2.14,-2.369995
2.07,-2.429995
2.01,-2.479995
1.94,-2.529995
1.88,-2.579995
1.81,-2.629995
1.74,-2.679995
1.67,-2.719995
1.6,-2.759995
1.52,-2.799995
1.45,-2.839995
1.37,-2.879995
1.3,-2.919995
1.22,-2.949995
1.14,-2.979995
1.07,-3.009995
0.9899999,-3.029995
0.91,-3.059995
0.83,-3.079995
0.74,-3.099995
0.66,-3.119995
0.58,-3.139995
0.5,-3.149995
0.42,-3.159995
0.33,-3.169995
0.25,-3.179995
0.17,-3.189995
0.08,-3.189995
0,-3.189995
-0.08,-3.189995
-0.17,-3.189995
-0.25,-3.179995
-0.33,-3.169995
-0.42,-3.159995
-0.5,-3.149995
-0.58,-3.139995
-0.66,-3.119995
-0.74,-3.099995
-0.83,-3.079995
-0.91,-3.059995
-0.9899999,-3.029995
-1.07,-3.009995
-1.14,-2.979995
-1.22,-2.949995
-1.3,-2.919995
-1.37,-2.879995
-1.45,-2.839995
-1.52,-2.799995
-1.6,-2.759995
-1.67,-2.719995
-1.74,-2.679995
-1.81,-2.629995
-1.88,-2.579995
-1.94,-2.529995
-2.01,-2.479995
-2.07,-2.429995
6.45,-4.899995
6.23,-5.019995
6,-5.129995
5.73,-5.239995
5.45,-5.329995
5.23,-5.409995
5,-5.479995
4.72,-5.539995
4.5,-5.589995
4.22,-5.629995
3.95,-5.659995
3.72,-5.669995
3.5,-5.679995
3.25,-5.679995
3,-5.679995
2.77,-5.649995
2.55,-5.629995
2.3,-5.599995
2.05,-5.559995
1.85,-5.499995
1.65,-5.449995
1.42,-5.389995
1.25,-5.319995
1,-5.249995
0.8,-5.169995
0.6,-5.089995
0.4,-4.999995
0.25,-4.899995
0.05,-4.809995
-0.09999999,-4.709995
-0.25,-4.599995
-0.4,-4.489995
-0.55,-4.389995
-0.7,-4.269995
-0.85,-4.159995
-0.95,-4.039995
-1.1,-3.919995
-1.2,-3.799995
-1.35,-3.679995
-1.48,-3.559995
-1.55,-3.429995
-1.65,-3.299995
-1.75,-3.179995
-1.85,-3.039995
-1.9,-2.919995
-2,-2.779995
-2.05,-2.649995
-2.13,-2.519995
-2.2,-2.399995
-2.25,-2.259995
-2.3,-2.129995
-2.35,-1.999995
-2.35,-1.869995
-2.43,-1.739995
-2.45,-1.599995
-2.45,-1.469995
-2.5,-1.349995
-2.5,-1.209995
-2.5,-1.089995
-2.5,-0.9599951
-2.5,-0.8399951
-2.5,-0.7099951
-2.45,-0.5899951
