U,V
1.856687,-1.309995
1.816687,-1.359995
1.786687,-1.409995
1.746687,-1.449995
1.706687,-1.499995
1.666687,-1.539995
1.626687,-1.579995
1.586687,-1.629995
1.546687,-1.669995
1.496687,-1.709995
1.456687,-1.749995
1.406687,-1.779995
1.356687,-1.819995
1.316687,-1.849995
1.266687,-1.889995
1.216687,-1.919995
1.166687,-1.949995
1.116687,-1.979995
1.056687,-2.009995
1.006687,-2.039995
0.956687,-2.059995
0.896687,-2.089995
0.846687,-2.109995
0.786687,-2.129995
0.736687,-2.149995
0.676687,-2.169995
0.616687,-2.189995
0.556687,-2.199995
0.506687,-2.219995
0.446687,-2.229995
0.386687,-2.239995
0.326687,-2.249995
0.266687,-2.259995
0.206687,-2.259995
0.146687,-2.269995
0.08668701,-2.269995
0.02668701,-2.269995
-0.02331299,-2.269995
-0.08331299,-2.269995
-0.143313,-2.269995
-0.203313,-2.259995
-0.263313,-2.259995
-0.323313,-2.249995
-0.383313,-2.239995
-0.443313,-2.229995
-0.503313,-2.219995
-0.553313,-2.199995
-0.613313,-2.189995
-0.673313,-2.169995
-0.733313,-2.149995
-0.783313,-2.129995
-0.843313,-2.109995
-0.893313,-2.089995
-0.953313,-2.059995
-1.003313,-2.039995
-1.053313,-2.009995
-1.113313,-1.979995
-1.163313,-1.949995
-1.213313,-1.919995
-1.263313,-1.889995
-1.313313,-1.859995
-1.353313,-1.819995
-1.403313,-1.789995
-1.453313,-1.749995
-1.493313,-1.709995
-1.543313,-1.669995
-1.583313,-1.629995
-1.623313,-1.589995
5.496687,-4.319995
5.326687,-4.429995
5.096687,-4.529995
4.876687,-4.609995
4.646687,-4.689995
4.426687,-4.759995
4.246687,-4.819995
4.026687,-4.859995
3.796687,-4.899995
3.576687,-4.929995
3.346687,-4.949995
3.126687,-4.959995
2.896687,-4.959995
2.696687,-4.949995
2.496687,-4.929995
2.276687,-4.909995
2.046687,-4.869995
1.876687,-4.829995
1.646687,-4.789995
1.446687,-4.729995
1.246687,-4.659995
1.076687,-4.599995
0.896687,-4.519995
0.696687,-4.439995
0.496687,-4.349995
0.326687,-4.249995
0.146687,-4.159995
0.02668701,-4.059995
-0.153313,-3.949995
-0.303313,-3.839995
-0.403313,-3.729995
-0.553313,-3.609995
-0.703313,-3.489995
-0.803313,-3.359995
-0.903313,-3.239995
-1.053313,-3.109995
-1.153313,-2.979995
-1.223313,-2.849995
-1.353313,-2.719995
-1.403313,-2.579995
-1.503313,-2.449995
-1.573313,-2.319995
-1.603313,-2.179995
-1.673313,-2.049995
-1.703313,-1.909995
-1.803313,-1.769995
-1.803313,-1.639995
-1.823313,-1.509995
-1.903313,-1.369995
-1.903313,-1.239995
-1.903313,-1.109995
-1.903313,-0.9899951
-1.953313,-0.8599951
-1.953313,-0.7299951
-1.953313,-0.6099951
-1.923313,-0.4899951
-1.903313,-0.3799951
-1.873313,-0.2599951
-1.803313,-0.1499951
-1.803313,-0.03999512
-1.753313,0.06000488
-1.753313,0.1700049
-1.703313,0.2700049
-1.623313,0.3600049
-1.603313,0.4500049
-1.523313,0.5500049
-1.453313,0.6300049
-1.423313,0.7200049
9.496687,-7.709995
9.096686,-7.869995
8.696687,-8.009995
8.246687,-8.119995
7.796687,-8.209995
7.446687,-8.279995
6.996687,-8.329995
6.546687,-8.359995
6.096687,-8.369995
5.646687,-8.359995
5.296687,-8.329995
4.846687,-8.289995
4.396687,-8.219995
3.996687,-8.139995
3.596687,-8.049994
3.196687,-7.939995
2.796687,-7.809995
2.446687,-7.679995
2.096687,-7.529995
1.696687,-7.379995
1.396687,-7.209995
1.046687,-7.029995
0.696687,-6.849995
0.396687,-6.659995
0.09668701,-6.459995
-0.203313,-6.259995
-0.403313,-6.049995
-0.703313,-5.839995
-0.903313,-5.619995
-1.153313,-5.409995
-1.403313,-5.179995
-1.603313,-4.959995
-1.803313,-4.729995
-1.953313,-4.509995
-2.203313,-4.279995
-2.353313,-4.059995
-2.503313,-3.829995
-2.603313,-3.589995
