U,V
2.63,-0.4465625
2.62,-0.5165625
2.6,-0.5865625
2.59,-0.6565625
2.57,-0.7265625
2.55,-0.7865625
2.53,-0.8565625
2.51,-0.9165625
2.48,-0.9865625
2.45,-1.046562
2.43,-1.116562
2.4,-1.176562
2.36,-1.236562
2.33,-1.306562
2.3,-1.366562
2.26,-1.426562
2.22,-1.476562
2.18,-1.536562
2.14,-1.596563
2.1,-1.646562
2.05,-1.706563
2.01,-1.756562
1.96,-1.806562
1.91,-1.856562
1.86,-1.906562
1.81,-1.956562
1.76,-2.006562
1.71,-2.046562
1.66,-2.096562
1.6,-2.136562
1.54,-2.176563
1.49,-2.216563
1.43,-2.256562
1.37,-2.296562
1.31,-2.326562
1.25,-2.356562
1.18,-2.396562
1.12,-2.426563
1.06,-2.446563
0.9899999,-2.476562
0.93,-2.506562
0.86,-2.526562
0.79,-2.546562
0.73,-2.566562
0.66,-2.586562
0.59,-2.606562
0.52,-2.616562
0.46,-2.626562
0.39,-2.636562
0.32,-2.646562
0.25,-2.656562
0.18,-2.666563
0.11,-2.666563
0.04,-2.666563
-0.03,-2.666563
-0.09999999,-2.666563
-0.17,-2.666563
-0.24,-2.656562
-0.31,-2.646562
-0.38,-2.646562
-0.45,-2.626562
-0.52,-2.616562
-0.59,-2.606562
-0.65,-2.586562
-0.72,-2.566562
-0.79,-2.546562
-0.86,-2.526562
-0.92,-2.506562
6.5,-2.776562
6.38,-2.936563
6.2,-3.086562
6.03,-3.236562
5.85,-3.366562
5.63,-3.496562
5.5,-3.606562
5.28,-3.716563
5.05,-3.816562
4.85,-3.906562
4.65,-3.976562
4.43,-4.056562
4.25,-4.106563
4.02,-4.156562
3.85,-4.206563
3.65,-4.236562
3.45,-4.256562
3.22,-4.276562
3.05,-4.286562
2.82,-4.286562
2.65,-4.276562
2.42,-4.256562
2.25,-4.236562
2.05,-4.206563
1.85,-4.166563
1.67,-4.126563
1.55,-4.076562
1.37,-4.026562
1.2,-3.966563
1.02,-3.896562
0.85,-3.826562
0.75,-3.746562
0.6,-3.666562
0.45,-3.586562
0.3,-3.496562
0.15,-3.406562
0.09999999,-3.316562
-0.05,-3.216563
-0.15,-3.106562
-0.28,-3.006562
-0.35,-2.896562
-0.48,-2.796562
-0.55,-2.686563
-0.63,-2.576562
-0.7,-2.456563
-0.78,-2.346562
-0.8,-2.226562
-0.88,-2.116562
-0.9,-1.996562
-0.95,-1.886562
-0.95,-1.766562
-1.05,-1.656562
-1.05,-1.546562
-1.08,-1.436562
-1.1,-1.326563
-1.1,-1.216563
-1.05,-1.106562
-1.08,-1.006562
-1.1,-0.8965625
-1.08,-0.8065625
-1.05,-0.7065625
-1.03,-0.6165625
-1,-0.5265625
-0.95,-0.4365625
-0.95,-0.3565625
-0.9,-0.2765625
-0.85,-0.1965625
-0.83,-0.1365625
10.6,-5.926562
10.25,-6.166563
9.8,-6.366562
9.45,-6.556562
9,-6.726562
8.65,-6.876562
8.2,-7.006562
7.85,-7.106562
7.4,-7.196562
7,-7.256562
6.6,-7.306562
6.15,-7.336562
5.8,-7.346562
5.35,-7.346562
5,-7.316562
4.6,-7.286562
4.2,-7.226562
3.85,-7.166563
3.5,-7.086562
3.1,-6.996562
2.8,-6.896563
2.45,-6.786562
2.1,-6.666563
1.8,-6.546562
1.5,-6.406562
1.2,-6.266562
0.9,-6.116562
0.65,-5.966562
0.4,-5.796562
0.15,-5.636562
-0.09999999,-5.456563
-0.35,-5.276562
-0.6,-5.086562
-0.75,-4.906562
-1,-4.706563
-1.15,-4.506562
-1.3,-4.296562
-1.5,-4.096562
-1.7,-3.876562
-1.8,-3.666562
-1.9,-3.436563
-2.05,-3.216563
-2.2,-2.986562
-2.25,-2.756562
-2.3,-2.516562
-2.4,-2.286562
-2.4,-2.046562
-2.5,-1.806562
-2.5,-1.576563
-2.5,-1.336563
-2.5,-1.106562
-2.5,-0.8765625
-2.5,-0.6465625
-2.4,-0.4265625
-2.4,-0.2065625
-2.3,0.0034375
-2.2,0.2034375
-2.15,0.3934375
-2.1,0.5934375
-1.95,0.7734375
-1.9,0.9434375
-1.75,1.103437
-1.6,1.263438
-1.45,1.413437
-1.3,1.543437
-1.15,1.673437
-1,1.793437
-0.85,1.893438
13.8,-9.796562
13.15,-10.05656
12.55,-10.28656
11.9,-10.46656
11.25,-10.61656
10.62,-10.72656
10,-10.80656
9.37,-10.85656
8.7,-10.87656
8.12,-10.86656
7.5,-10.82656
6.9,-10.77656
6.35,-10.68656
