U,V
1.79,-1.37
1.76,-1.42
1.72,-1.46
1.68,-1.51
1.64,-1.55
1.6,-1.59
1.56,-1.63
1.51,-1.67
1.47,-1.71
1.42,-1.75
1.38,-1.79
1.33,-1.82
1.28,-1.86
1.23,-1.89
1.18,-1.92
1.13,-1.95
1.08,-1.98
1.03,-2.01
0.98,-2.03
0.92,-2.06
0.87,-2.08
0.81,-2.1
0.76,-2.13
0.7,-2.14
0.65,-2.16
0.59,-2.18
0.53,-2.19
0.47,-2.21
0.42,-2.22
0.36,-2.23
0.3,-2.24
0.24,-2.24
0.18,-2.25
0.12,-2.25
0.06,-2.26
0,-2.26
-0.05,-2.26
-0.11,-2.25
-0.17,-2.25
-0.23,-2.24
-0.29,-2.24
-0.35,-2.23
-0.41,-2.22
-0.46,-2.21
-0.52,-2.2
-0.58,-2.18
-0.64,-2.16
-0.69,-2.15
-0.75,-2.13
-0.8,-2.11
-0.86,-2.09
-0.91,-2.06
-0.97,-2.04
-1.02,-2.01
-1.07,-1.99
-1.12,-1.96
-1.18,-1.93
-1.23,-1.89
-1.27,-1.86
-1.32,-1.83
-1.37,-1.79
-1.42,-1.76
-1.46,-1.72
-1.51,-1.68
-1.55,-1.64
-1.59,-1.6
-1.63,-1.56
-1.67,-1.51
5.4,-4.34
5.18,-4.45
5,-4.53
4.78,-4.62
4.55,-4.69
4.35,-4.76
4.15,-4.81
3.92,-4.85
3.7,-4.89
3.5,-4.92
3.3,-4.93
3.07,-4.94
2.85,-4.94
2.6,-4.93
2.4,-4.91
2.17,-4.89
2,-4.86
1.77,-4.82
1.6,-4.77
1.4,-4.71
1.2,-4.65
1.05,-4.59
0.85,-4.51
0.7,-4.43
0.5,-4.34
0.35,-4.26
0.15,-4.16
0.05,-4.06
-0.09999999,-3.95
-0.3,-3.85
-0.4,-3.74
-0.55,-3.63
-0.65,-3.5
-0.8,-3.39
-0.9,-3.26
-0.98,-3.14
-1.1,-3.01
-1.23,-2.88
-1.3,-2.75
-1.38,-2.62
-1.45,-2.48
-1.53,-2.35
-1.55,-2.22
-1.65,-2.08
-1.7,-1.95
-1.73,-1.82
-1.8,-1.68
-1.8,-1.55
-1.85,-1.41
