U,V
1.95,-0.8599951
1.93,-0.9099951
1.9,-0.9599951
1.88,-1.009995
1.85,-1.059995
1.82,-1.109995
1.79,-1.149995
1.76,-1.199995
1.73,-1.249995
1.7,-1.289995
1.66,-1.329995
1.63,-1.379995
1.59,-1.419995
1.55,-1.459995
1.51,-1.499995
1.47,-1.539995
1.43,-1.579995
1.39,-1.609995
1.35,-1.649995
1.31,-1.689995
1.26,-1.719995
1.22,-1.749995
1.17,-1.779995
1.12,-1.809995
1.07,-1.839995
1.03,-1.869995
0.98,-1.899995
0.93,-1.919995
0.88,-1.939995
0.82,-1.969995
0.77,-1.989995
0.72,-2.009995
0.67,-2.019995
0.61,-2.039995
0.56,-2.059995
0.51,-2.069995
0.45,-2.079995
0.4,-2.089995
0.34,-2.099995
0.29,-2.109995
0.23,-2.119995
0.18,-2.119995
0.12,-2.129995
0.07,-2.129995
0.01,-2.129995
-0.05,-2.129995
-0.09999999,-2.129995
-0.16,-2.129995
-0.21,-2.119995
-0.27,-2.109995
-0.32,-2.109995
-0.38,-2.099995
-0.43,-2.089995
-0.49,-2.079995
-0.54,-2.059995
-0.6,-2.049995
-0.65,-2.029995
-0.7,-2.009995
-0.76,-1.989995
-0.81,-1.969995
-0.86,-1.949995
-0.91,-1.929995
-0.96,-1.899995
-1.01,-1.879995
-1.06,-1.849995
-1.11,-1.819995
-1.15,-1.789995
-1.2,-1.759995
6.05,-3.689995
5.83,-3.819995
5.6,-3.949995
5.38,-4.069995
5.2,-4.169995
4.98,-4.259995
4.75,-4.349995
4.53,-4.409995
4.3,-4.479995
4.07,-4.529995
3.85,-4.569995
3.62,-4.599995
3.4,-4.619995
3.22,-4.619995
3,-4.619995
2.77,-4.609995
2.55,-4.589995
2.32,-4.569995
2.1,-4.529995
1.92,-4.489995
1.7,-4.439995
1.57,-4.379995
1.35,-4.319995
1.17,-4.249995
1,-4.179995
0.8,-4.099995
0.65,-4.009995
0.5,-3.919995
0.3,-3.829995
0.2,-3.729995
0.05,-3.639995
-0.08,-3.529995
-0.25,-3.429995
-0.38,-3.319995
-0.45,-3.209995
-0.55,-3.099995
-0.7,-2.989995
-0.8,-2.869995
-0.85,-2.759995
-0.98,-2.639995
-1.05,-2.519995
-1.13,-2.399995
-1.2,-2.289995
-1.28,-2.159995
-1.35,-2.039995
-1.35,-1.919995
-1.45,-1.799995
-1.45,-1.669995
-1.45,-1.559995
-1.53,-1.429995
-1.55,-1.309995
-1.55,-1.189995
-1.55,-1.069995
-1.55,-0.9499951
-1.6,-0.8399951
-1.55,-0.7199951
-1.55,-0.6099951
-1.53,-0.4899951
-1.5,-0.3899951
-1.43,-0.2799951
-1.4,-0.1799951
-1.38,-0.06999511
-1.35,0.03000488
-1.28,0.1300049
-1.25,0.2200049
-1.15,0.3100049
-1.1,0.3900049
-1.03,0.4800049
10.8,-6.989995
10.45,-7.239995
10,-7.469995
9.55,-7.669995
9.099999,-7.839995
8.65,-7.999995
8.2,-8.119995
7.75,-8.209995
7.3,-8.279995
6.85,-8.319995
6.4,-8.339995
5.95,-8.329995
5.5,-8.289995
5.05,-8.239995
4.6,-8.149995
4.15,-8.049994
3.7,-7.929995
3.25,-7.789995
2.9,-7.639995
2.45,-7.469995
2.1,-7.289995
1.7,-7.109995
1.4,-6.909995
1,-6.709995
0.7,-6.499995
0.4,-6.289995
0.09999999,-6.069995
-0.2,-5.859995
-0.5,-5.639995
-0.7,-5.429995
-1,-5.209995
-1.2,-4.999995
-1.4,-4.779995
-1.65,-4.569995
-1.8,-4.359995
-2.05,-4.139995
-2.2,-3.929995
-2.35,-3.709995
-2.5,-3.489995
-2.65,-3.279995
-2.8,-3.049995
-2.85,-2.829995
-3,-2.599995
-3.05,-2.379995
-3.1,-2.139995
-3.2,-1.909995
-3.2,-1.669995
-3.2,-1.429995
-3.2,-1.199995
-3.2,-0.9599951
-3.2,-0.7199951
-3.2,-0.4799951
-3.1,-0.2499951
-3.1,-0.01999512
-3,0.2100049
-2.95,0.4400049
-2.8,0.6600049
-2.75,0.8700049
-2.6,1.080005
-2.45,1.290005
-2.3,1.480005
-2.25,1.660005
-2,1.840005
-1.85,2.010005
-1.7,2.170005
-1.55,2.320005
-1.4,2.450005
-1.15,2.580005
13.9,-10.63999
13.35,-10.97999
12.75,-11.29
12.13,-11.54999
11.55,-11.79
10.9,-11.96999
10.25,-12.12
9.57,-12.21999
8.95,-12.29
8.27,-12.30999
7.6,-12.27999
6.95,-12.21
6.3,-12.08999
5.65,-11.92999
5,-11.75
4.37,-11.50999
3.8,-11.25999
3.22,-10.97999
2.65,-10.67999
2.17,-10.37
1.65,-10.04999
1.17,-9.719995
0.75,-9.399995
0.32,-9.079995
-0.05,-8.769995
-0.45,-8.469995
-0.75,-8.169995
-1.15,-7.879995
-1.45,-7.609995
-1.8,-7.329995
-2.1,-7.059995
-2.4,-6.779995
-2.65,-6.499995
-2.95,-6.209995
-3.15,-5.909995
-3.43,-5.589995
-3.65,-5.259995
-3.83,-4.909995
-4,-4.549995
-4.13,-4.149995
-4.25,-3.749995
-4.33,-3.329995
-4.4,-2.889995
-4.4,-2.439995
-4.4,-1.989995
-4.35,-1.519995
-4.25,-1.069995
-4.13,-0.6099951
-4,-0.1599951
-3.85,0.2900049
-3.65,0.7100049
-3.43,1.120005
-3.2,1.510005
-3.03,1.870005
-2.8,2.210005
-2.53,2.530005
-2.3,2.820005
-2.03,3.080005
-1.75,3.320005
-1.55,3.540005
-1.3,3.730005
-1.08,3.890005
-0.85,4.040005
-0.63,4.160005
-0.4,4.270005
-0.18,4.360005
0,4.430005
0.25,4.500005
16.2,-14.27999
15.4,-14.66
14.6,-14.97999
13.75,-15.24
12.9,-15.45999
12.1,-15.62
11.3,-15.71999
10.5,-15.76999
9.7,-15.77999
8.849999,-15.71999
8,-15.62
7.25,-15.45
6.4,-15.24
5.65,-14.97999
4.9,-14.66999
4.2,-14.33
3.5,-13.95
2.85,-13.55999
2.2,-13.14999
1.6,-12.74
1.1,-12.33
0.55,-11.92999
0,-11.54
-0.45,-11.17
-0.9,-10.80999
-1.35,-10.46999
-1.7,-10.13
-2.15,-9.799994
-2.5,-9.449995
-2.85,-9.099995
-3.2,-8.719995
-3.5,-8.309995
-3.8,-7.869995
-4,-7.399995
-4.2,-6.889995
-4.45,-6.329995
-4.6,-5.749995
-4.7,-5.119995
-4.7,-4.469995
-4.8,-3.789995
-4.7,-3.099995
-4.65,-2.399995
-4.6,-1.689995
-4.45,-0.9899951
-4.2,-0.2999951
-4,0.3600049
-3.8,1.000005
-3.5,1.610005
-3.2,2.170005
-2.85,2.680005
-2.5,3.150005
-2.2,3.560005
-1.8,3.920005
-1.5,4.230005
-1.2,4.480005
-0.9,4.680005
-0.6,4.840005
-0.3,4.960005
0,5.040005
0.2,5.100005
0.5,5.120005
0.65,5.140005
0.9,5.140005
1.05,5.140005
1.2,5.140005
1.4,5.140005
1.6,5.140005
1.75,5.150005
18.15,-17.64
17.2,-18.14999
16.2,-18.56
15.18,-18.84999
14.25,-19.05999
13.25,-19.16999
12.35,-19.21
11.45,-19.18999
10.55,-19.12
9.65,-18.98999
8.75,-18.81999
7.87,-18.59999
6.95,-18.32999
6.05,-17.99999
5.15,-17.62
4.25,-17.18999
3.4,-16.72
2.52,-16.2
1.8,-15.66999
1,-15.12
0.3,-14.58
-0.33,-14.04999
-0.95,-13.54999
-1.53,-13.05999
-2.05,-12.59999
-2.55,-12.14999
-3.05,-11.68999
-3.48,-11.21
-3.9,-10.71
-4.28,-10.14999
-4.65,-9.539995
-4.9,-8.869995
-5.15,-8.139995
-5.3,-7.339995
