U,V
2.30769,-1.444995
2.26769,-1.504995
2.22769,-1.564995
2.18769,-1.624995
2.13769,-1.684995
2.09769,-1.734995
2.04769,-1.794995
1.99769,-1.844995
1.94769,-1.894995
1.89769,-1.944995
1.84769,-1.994995
1.79769,-2.044995
1.74769,-2.094995
1.68769,-2.134995
1.62769,-2.174995
1.57769,-2.224995
1.51769,-2.264995
1.45769,-2.294995
1.39769,-2.334995
1.33769,-2.374995
1.26769,-2.404995
1.20769,-2.434995
1.13769,-2.474995
1.07769,-2.494995
1.00769,-2.524995
0.9476904,-2.554995
0.8776904,-2.574995
0.8076904,-2.594995
0.7376904,-2.614995
0.6776904,-2.634995
0.6076904,-2.654995
0.5376904,-2.664995
0.4676904,-2.684995
0.3976904,-2.694995
0.3276904,-2.704995
0.2476904,-2.704995
0.1776904,-2.714995
0.1076904,-2.714995
0.03769043,-2.724995
-0.03230957,-2.724995
-0.1023096,-2.714995
-0.1723096,-2.714995
-0.2423096,-2.714995
-0.3123096,-2.704995
-0.3823096,-2.694995
-0.4623096,-2.684995
-0.5323095,-2.664995
-0.5923095,-2.654995
-0.6623095,-2.634995
-0.7323096,-2.624995
-0.8023096,-2.604995
-0.8723096,-2.574995
-0.9423096,-2.554995
-1.00231,-2.524995
-1.072309,-2.504995
-1.13231,-2.474995
-1.202309,-2.444995
-1.26231,-2.414995
-1.322309,-2.374995
-1.39231,-2.344995
-1.452309,-2.304995
-1.51231,-2.264995
-1.572309,-2.224995
-1.62231,-2.184995
-1.68231,-2.134995
-1.74231,-2.094995
-1.79231,-2.044995
-1.842309,-2.004995
5.99769,-4.624995
5.77769,-4.744995
5.54769,-4.854995
5.32769,-4.944995
5.09769,-5.024995
4.87769,-5.094995
4.64769,-5.164995
4.37769,-5.214995
4.14769,-5.254995
3.89769,-5.284995
3.64769,-5.304995
3.42769,-5.314995
3.14769,-5.324995
2.97769,-5.314995
2.74769,-5.304995
2.52769,-5.284995
2.29769,-5.254995
2.07769,-5.204995
1.84769,-5.164995
1.62769,-5.104995
1.39769,-5.054995
1.22769,-4.984995
0.9976904,-4.904995
0.8276904,-4.834995
0.6476904,-4.744995
0.4476904,-4.654995
0.2976904,-4.564995
0.1476904,-4.464995
-0.00230957,-4.354995
-0.2023096,-4.254995
-0.3523096,-4.144995
-0.4723096,-4.034995
-0.6023096,-3.914995
-0.7523096,-3.794995
-0.8523095,-3.674995
-1.00231,-3.544995
-1.10231,-3.424995
-1.202309,-3.294995
-1.30231,-3.174995
-1.42231,-3.034995
-1.50231,-2.914995
-1.572309,-2.784995
-1.65231,-2.654995
-1.72231,-2.514995
-1.75231,-2.384995
-1.85231,-2.254995
-1.85231,-2.124995
-1.952309,-1.994995
-1.952309,-1.864995
-2.05231,-1.734995
-2.05231,-1.604995
-2.05231,-1.474995
-2.05231,-1.354995
-2.102309,-1.224995
-2.102309,-1.104995
-2.102309,-0.9749951
-2.102309,-0.8649951
-2.102309,-0.7449951
-2.102309,-0.6249951
-2.102309,-0.5149951
-2.05231,-0.4049951
-2.05231,-0.2849951
-2.05231,-0.1849951
-1.972309,-0.07499512
-1.952309,0.02500488
-1.90231,0.1250049
-1.85231,0.2150049
-1.80231,0.3150049
9.89769,-8.264995
9.44769,-8.424994
8.99769,-8.564995
8.54769,-8.664995
8.097691,-8.764995
7.64769,-8.824995
7.19769,-8.874995
6.74769,-8.894995
6.29769,-8.894995
5.84769,-8.874995
5.39769,-8.844995
4.94769,-8.784995
4.49769,-8.714995
4.04769,-8.614995
3.59769,-8.514995
3.24769,-8.394995
2.79769,-8.254995
2.44769,-8.114995
2.09769,-7.954995
1.69769,-7.784995
1.29769,-7.614995
0.9976904,-7.434995
0.6976904,-7.244995
0.2976904,-7.044995
-0.00230957,-6.854995
-0.2523096,-6.644995
-0.5023096,-6.444995
-0.8023096,-6.224995
-1.00231,-6.014995
-1.30231,-5.804995
-1.50231,-5.584995
-1.75231,-5.364995
-1.90231,-5.144995
-2.152309,-4.924995
-2.30231,-4.714995
-2.45231,-4.484995
-2.602309,-4.274995
-2.75231,-4.054995
-2.902309,-3.834995
-3.05231,-3.614995
-3.102309,-3.404995
-3.25231,-3.194995
-3.30231,-2.974995
-3.402309,-2.754995
-3.50231,-2.554995
-3.55231,-2.344995
-3.602309,-2.144995
-3.652309,-1.934995
-3.702309,-1.734995
-3.702309,-1.524995
-3.702309,-1.334995
-3.702309,-1.134995
-3.702309,-0.9449951
-3.702309,-0.7449951
-3.702309,-0.5649951
-3.702309,-0.3749951
-3.702309,-0.1949951
-3.602309,-0.01499512
-3.602309,0.1650049
