U,V
2.799652,-0.3
2.799652,-0.4
2.799652,-0.4
2.799652,-0.5
2.799652,-0.6
2.699652,-0.6
2.699652,-0.7
2.699652,-0.8
2.699652,-0.9
2.699652,-0.9
2.599652,-1
2.599652,-1.1
2.599652,-1.1
2.599652,-1.2
2.499652,-1.3
2.499652,-1.3
2.399652,-1.4
2.399652,-1.5
2.399652,-1.5
2.299652,-1.6
2.299652,-1.6
2.199652,-1.7
2.199652,-1.8
2.199652,-1.8
2.099652,-1.9
2.099652,-1.9
1.999652,-2
1.999652,-2
1.899652,-2.1
1.799652,-2.1
1.799652,-2.2
1.699652,-2.2
1.699652,-2.3
1.599652,-2.3
1.499652,-2.4
1.499652,-2.4
1.399652,-2.4
1.399652,-2.5
1.299652,-2.5
1.199652,-2.5
1.199652,-2.6
1.099652,-2.6
0.9996521,-2.6
0.9996521,-2.7
0.8996521,-2.7
0.7996521,-2.7
0.6996521,-2.7
0.6996521,-2.7
0.5996521,-2.8
0.4996521,-2.8
0.4996521,-2.8
0.3996521,-2.8
0.2996521,-2.8
0.1996521,-2.8
0.1996521,-2.8
0.0996521,-2.8
-0.00034790041,-2.8
-0.1003479,-2.8
-0.1003479,-2.8
-0.2003479,-2.8
-0.3003479,-2.8
-0.4003479,-2.8
-0.4003479,-2.8
-0.5003479,-2.8
-0.6003479,-2.8
-0.6003479,-2.7
-0.7003479,-2.7
-0.8003479,-2.7
7.099652,-2.9
6.899652,-3.2
6.699652,-3.3
6.499652,-3.5
6.299652,-3.6
6.099652,-3.8
5.899652,-3.9
5.599652,-4
5.399652,-4.1
5.199652,-4.2
4.999652,-4.3
4.699652,-4.3
4.499652,-4.4
4.299652,-4.5
4.099652,-4.5
3.899652,-4.6
3.699652,-4.6
3.399652,-4.6
3.199652,-4.5
2.999652,-4.6
2.799652,-4.6
2.599652,-4.6
2.399652,-4.5
2.099652,-4.5
1.899652,-4.4
1.799652,-4.4
1.599652,-4.4
1.399652,-4.3
1.199652,-4.3
0.9996521,-4.2
0.8996521,-4.1
0.6996521,-4.1
0.4996521,-3.9
0.3996521,-3.9
0.2996521,-3.7
0.0996521,-3.7
-0.00034790041,-3.6
-0.2003479,-3.5
-0.3003479,-3.4
-0.4003479,-3.3
-0.5003479,-3.2
-0.6003479,-3.1
-0.7003479,-2.9
-0.8003479,-2.8
-0.9003479,-2.7
-1.000348,-2.6
-1.000348,-2.4
-1.100348,-2.3
-1.200348,-2.2
-1.200348,-2.1
-1.300348,-2
-1.300348,-1.9
-1.300348,-1.7
-1.400348,-1.6
-1.300348,-1.5
-1.400348,-1.4
-1.400348,-1.3
-1.400348,-1.2
-1.400348,-1
-1.400348,-0.9
-1.400348,-0.8
-1.400348,-0.8
-1.300348,-0.6
-1.400348,-0.5
-1.300348,-0.5
-1.300348,-0.4
